ORGIN_AIPORT_ID,Description,Code.y
10472,"Carrabassett, ME: Sugarloaf Regional",B21
10473,"Bialla, Papua New Guinea: Bialla Airport",BAA
10474,"Marysville, CA: Beale AFB",BAB
10475,"Barranca de Upia, Colombia: Barranca de Upia Airport",BAC
10476,"Shreveport, LA: Barksdale AFB",BAD
10477,"Barcelonnette, France: Barcelonnette Airport",BAE
10478,"Westfield, MA: Westfield Barnes Regional",BAF
10479,"Baguio, Philippines: Baguio Airport",BAG
10480,"Manama, Bahrain: Bahrain International",BAH
10481,"Buenos Aires, Costa Rica: Buenos Aires Airport",BAI
10482,"Baku, Azerbaijan: Heydar Aliyev International",GYD
10483,"Batman, Turkey: Batman Airport",BAL
10484,"Battle Mountain, NV: Battle Mountain Airport",BAM
10485,"Ban Mak Khaeng, Thailand: Udorn AB",BAO
10486,"Barranquilla, Colombia: Ernesto Cortissoz",BAQ
10487,"Baker Island, AK: Baker AAF",BAR
10488,"Barth, East Germany: Barth Airport",NA
10489,"Bauru, Brazil: Bauru-Arealva",BAU
10490,"Baotou, China: Baotou Airport",BAV
10491,"Barnaul, Russia: Mikhaylovka",BAX
10492,"Baia Mare, Romania: Maramures",BAY
10493,"Balmaceda, Chile: Balmaceda Airport",BBA
10494,"Bay City, TX: Bay City Regional",BBC
10495,"Burlington, MA: N Eng Heliport",BBF
10497,"Bhubaneswar, India: Bhubaneswar Airport",BBI
10498,"Berbera, Somalia: Berbera International",BBO
10499,"Barbuda, Antigua and Barbuda: Cocoa Point",BBQ
10500,"Basse Terre, Guadeloupe: Baillif",BBR
10501,"Blackbushe, United Kingdom: Blackbushe Airport",BBS
10502,"Berberati, Central African Republic: Berberati Airport",BBT
10503,"Bucharest, Romania: Baneasa Aurel Vlaicu",BBU
10504,"Blue Bell, PA: Wings Field",BBX
10505,"Bambari, Central African Republic: Bambari Airport",BBY
10506,"Zambezi, Zambia: Zambezi Airport",BBZ
10507,"Baracoa, Cuba: Gustavo Rizo",BCA
10508,"Blacksburg, VA: Virginia Tech/Montgomery Executive",BCB
10509,"Bear Creek, AK: Bear Creek Airport",BCC
10510,"Bacolod, Philippines: Bacolod Airport",BCD
