Month_Year,ORIGIN_AIRPORT_ID_origin,DEST_AIRPORT_ID,flight_count,DEP_DELAY,ARR_DELAY,CANCELLED,estimated_demand,Average Fare ($)_origin,ORIGIN_AIRPORT_ID_dest,Average Fare ($)_dest,adjusted_demand
2018-01,ATL,LGA,691,16.19418960244648,3.76416539050536,0.053545586107091175,654.0,360.85,LGA,329.16,443.2439689351988
2018-01,ATL,LIT,159,6.441558441558442,-2.909090909090909,0.031446540880503145,154.0,360.85,LIT,425.19,99.4395226132124
2018-01,ATL,MCI,327,9.965079365079365,-0.7841269841269841,0.03669724770642202,315.0,360.85,MCI,348.32,211.3967334348615
2018-01,ATL,MCO,776,11.212793733681462,7.785900783289817,0.01288659793814433,766.0,360.85,MCO,249.74,541.3614977828599
2018-01,ATL,MDT,82,1.4683544303797469,-8.924050632911392,0.036585365853658534,79.0,360.85,MDT,467.85,49.96219013966103
2018-01,ATL,MDW,305,12.467576791808874,4.585616438356165,0.03934426229508197,293.0,360.85,MDW,305.63,201.0221683103512
2018-01,ATL,MEM,267,13.509578544061302,4.75095785440613,0.02247191011235955,261.0,360.85,MEM,391.89,171.3387042102361
2018-01,ATL,MHT,31,19.0,11.67741935483871,0.0,31.0,360.85,MHT,378.03,20.492692166211732
2018-01,ATL,MIA,474,12.536637931034482,6.502155172413793,0.02109704641350211,464.0,360.85,MIA,319.52,316.0466430848785
2018-01,ATL,MKE,248,8.269387755102041,-2.5040983606557377,0.012096774193548387,245.0,360.85,MKE,335.88,165.47262840740103
2018-01,ATL,MLB,133,5.198473282442748,-2.5801526717557253,0.015037593984962405,131.0,360.85,MLB,409.78,85.23460663848518
2018-01,ATL,MOB,30,0.9655172413793104,-7.862068965517241,0.03333333333333333,29.0,360.85,MOB,556.96,17.585180627250306
2018-01,ATL,MSN,84,8.679012345679013,-3.617283950617284,0.03571428571428571,81.0,360.85,MSN,461.73,51.37862823864034
2018-01,ATL,MSP,407,11.256345177664974,-1.1195928753180662,0.03194103194103194,394.0,360.85,MSP,372.21,261.22152926830495
2018-01,ATL,MSY,454,8.661327231121282,1.6796338672768878,0.037444933920704845,437.0,360.85,MSY,301.66,300.4417801538469
2018-01,ATL,MTJ,10,1.5,-19.5,0.0,10.0,360.85,MTJ,558.88,6.058479059426725
2018-01,ATL,MYR,84,11.08641975308642,5.0246913580246915,0.03571428571428571,81.0,360.85,MYR,268.41,56.675800815034655
2018-01,ATL,OAK,31,10.161290322580646,-11.0,0.0,31.0,360.85,OAK,287.64,21.47054373323889
2018-01,ATL,OKC,158,8.333333333333334,-5.673076923076923,0.012658227848101266,156.0,360.85,OKC,385.68,102.72854560135197
2018-01,ATL,OMA,141,13.666666666666666,1.3695652173913044,0.02127659574468085,138.0,360.85,OMA,356.55,92.22366064299763
2018-01,ATL,ORD,476,7.165236051502146,-3.4408602150537635,0.02100840336134454,466.0,360.85,ORD,338.55,314.3036840131157
2018-01,ATL,ORF,201,15.77127659574468,8.16042780748663,0.06467661691542288,188.0,360.85,ORF,408.45,122.40215441523233
2018-01,ATL,PBI,360,11.427350427350428,5.222222222222222,0.025,351.0,360.85,PBI,334.01,237.29330090297552
2018-01,ATL,PDX,85,11.329411764705883,-5.576470588235294,0.0,85.0,360.85,PDX,329.09,57.61024431962093
2018-01,ATL,PHF,30,25.275862068965516,11.241379310344827,0.03333333333333333,29.0,360.85,PHF,465.86,18.358161194360957
2018-01,ATL,PHL,495,12.098326359832637,4.561181434599156,0.04040404040404041,475.0,360.85,PHL,379.26,313.8064476658644
2018-01,ATL,PHX,278,13.703296703296703,2.553113553113553,0.017985611510791366,273.0,360.85,PHX,338.57,184.12880584273125
2018-01,ATL,PIT,272,7.3745318352059925,0.8352059925093633,0.01838235294117647,267.0,360.85,PIT,349.92,179.03736886840824
2018-01,ATL,PNS,203,3.888888888888889,-4.025252525252525,0.024630541871921183,198.0,360.85,PNS,429.64,127.57141640910433
2018-01,ATL,PVD,81,20.56578947368421,11.960526315789474,0.06172839506172839,76.0,360.85,PVD,322.43,51.68817156232956
2018-01,ATL,PWM,27,4.68,-4.32,0.07407407407407407,25.0,360.85,PWM,363.81,16.64562863184276
2018-01,ATL,RDU,423,10.35960591133005,3.9236453201970445,0.04018912529550828,406.0,360.85,RDU,344.17,273.0465225889372
2018-01,ATL,RIC,326,6.5141065830721,-0.6551724137931034,0.02147239263803681,319.0,360.85,RIC,402.18,208.34127289326392
2018-01,ATL,RNO,6,20.0,2.1666666666666665,0.0,6.0,360.85,RNO,346.57,4.030212108485585
2018-01,ATL,ROA,31,7.8,-2.8,0.03225806451612903,30.0,360.85,ROA,500.0,18.683433162927425
2018-01,ATL,ROC,81,12.405063291139241,4.1645569620253164,0.024691358024691357,79.0,360.85,ROC,363.07,52.61994773101091
2018-01,ATL,RSW,307,5.5049504950495045,-1.198019801980198,0.013029315960912053,303.0,360.85,RSW,311.75,207.21981347689677
2018-01,ATL,SAN,176,9.96,-11.293103448275861,0.005681818181818182,175.0,360.85,SAN,326.66,118.75840799318588
2018-01,ATL,SAT,271,17.57089552238806,3.0634328358208953,0.01107011070110701,268.0,360.85,SAT,356.41,179.11379510693385
2018-01,ATL,SAV,215,10.27450980392157,3.088235294117647,0.05116279069767442,204.0,360.85,SAV,377.74,134.87484335953684
2018-01,ATL,SDF,221,5.797235023041475,-3.046082949308756,0.01809954751131222,217.0,360.85,SDF,387.1,142.7962653387133
2018-01,ATL,SEA,193,9.973958333333334,-1.0416666666666667,0.0051813471502590676,192.0,360.85,SEA,337.31,129.58111721699976
2018-01,ATL,SFO,270,10.67910447761194,-2.906367041198502,0.007407407407407408,268.0,360.85,SFO,379.43,177.03774602363325
2018-01,ATL,SJC,78,15.923076923076923,-3.3076923076923075,0.0,78.0,360.85,SJC,298.98,53.70118104194978
2018-01,ATL,SJU,106,9.885714285714286,5.6761904761904765,0.009433962264150943,105.0,360.85,SJU,274.87,73.21638391002155
2018-01,ATL,SLC,230,14.995633187772926,0.9519650655021834,0.004347826086956522,229.0,360.85,SLC,359.45,152.81208270593163
2018-01,ATL,SMF,79,9.714285714285714,-8.428571428571429,0.02531645569620253,77.0,360.85,SMF,339.37,51.91241601484811
2018-01,ATL,SNA,89,10.123595505617978,-6.179775280898877,0.0,89.0,360.85,SNA,372.27,59.00510460366622
